LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5
Heterorhabditis bacteriophora (PRJNA13977),Heterorhabditis bacteriophora,hebactprjna13977,Heterorhabditis_bacteriophora-7.0 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichuris trichiura (PRJEB535),Trichuris trichiura,trtricprjeb535,TTRE2.1 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Panagrolaimus davidi (PRJEB32708),Panagrolaimus davidi,padaviprjeb32708,PDA_v2 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Ascaris suum (PRJNA62057),Ascaris suum,assuumprjna62057,ASM18702v3 (2018-04-WormBase),"GO:MF, GO:CC, GO:BP"
Steinernema glaseri (PRJNA204943),Steinernema glaseri,stglasprjna204943,S_glas_v1_submitted (2014-12-WormBase),"GO:MF, GO:CC, GO:BP"
Gyrodactylus salaris (PRJNA244375),Gyrodactylus salaris,gysalaprjna244375,Gsalaris_v1 (2016-09-WormBase),"GO:MF, GO:CC, GO:BP"
Globodera pallida (PRJEB123),Globodera pallida,glpallprjeb123,GPAL001 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Spirometra erinaceieuropaei (PRJEB1202),Spirometra erinaceieuropaei,sperinprjeb1202,S_erinaceieuropaei (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Litomosoides sigmodontis (PRJEB3075),Litomosoides sigmodontis,lisigmprjeb3075,ASM90053727v1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Ascaris lumbricoides (PRJEB4950),Ascaris lumbricoides,aslumbprjeb4950,A_lumbricoides_Ecuador_v1_5_4 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Dibothriocephalus latus (PRJEB1206),Dibothriocephalus latus,dilatuprjeb1206,D_latum_Geneva_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Setaria digitata (PRJNA479729),Setaria digitata,sedigiprjna479729,ASM364038v1 (2020-04-WormBase),"GO:MF, GO:CC, GO:BP"
Echinococcus granulosus (PRJNA182977),Echinococcus granulosus,ecgranprjna182977,ASM52419v1 (2016-04-WormBase),"GO:MF, GO:CC, GO:BP"
Globodera rostochiensis (PRJEB13504),Globodera rostochiensis,glrostprjeb13504,nGr (2016-09-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis remanei (PRJNA53967) [WS276],Caenorhabditis remanei,caremaprjna53967,C_remanei-15.0.1 (WS271),"GO:MF, GO:CC, GO:BP"
Meloidogyne arenaria (PRJNA438575),Meloidogyne arenaria,mearenprjna438575,ASM313380v1 (2018-08-WormBase),"GO:MF, GO:CC, GO:BP"
Oesophagostomum dentatum (PRJNA72579),Oesophagostomum dentatum,oedentprjna72579,O_dentatum_10.0.ec.cg.pg (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Pristionchus arcanus (PRJEB27334),Pristionchus arcanus,prarcaprjeb27334,P._arcanus_genome (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Pristionchus maxplancki (PRJEB27334),Pristionchus maxplancki,prmaxpprjeb27334,Prisstionchus_maxplancki_genome (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Meloidogyne graminicola (PRJNA411966),Meloidogyne graminicola,megramprjna411966,Mgraminicola_V1 (2018-09-WormBase),"GO:MF, GO:CC, GO:BP"
Schistosoma japonicum (PRJEA34885),Schistosoma japonicum,scjapoprjea34885,ASM15177v1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Clonorchis sinensis (PRJDA72781),Clonorchis sinensis,clsineprjda72781,C_sinensis-2.0 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Onchocerca flexuosa (PRJNA230512),Onchocerca flexuosa,onflexprjna230512,O_flexuosa_1.0.allpaths.pg.lrna (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Dictyocaulus viviparus (PRJNA72587),Dictyocaulus viviparus,diviviprjna72587,D_viviparus_9.2.1.ec.pg (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Opisthorchis viverrini (PRJNA222628),Opisthorchis viverrini,opviveprjna222628,OpiViv1.0 (2019-02-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Parascaris univalens (PRJNA386823),Parascaris univalens,paunivprjna386823,ASM225920v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Romanomermis culicivorax (PRJEB1358),Romanomermis culicivorax,roculiprjeb1358,nRc.2.0 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Steinernema feltiae (PRJNA204661),Steinernema feltiae,stfeltprjna204661,S_felt_v1_submitted (2014-12-WormBase),"GO:MF, GO:CC, GO:BP"
Haemonchus contortus (PRJNA205202),Haemonchus contortus,hacontprjna205202,Hco_v4_coding_submitted (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Ancylostoma caninum (PRJNA72585),Ancylostoma caninum,ancaniprjna72585,A_caninum_9.3.2.ec.cg.pg (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella sp. T6 (PRJNA257433),Trichinella sp. T6,trt6prjna257433,T6_ISS34_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis uteleia (PRJEB12600),Caenorhabditis sp. 31 LS-2015,cautelprjeb12600,CUTEL_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Onchocerca volvulus (PRJEB513) [WS276],Onchocerca volvulus,onvolvprjeb513,ASM49940v2 (WS276),"GO:MF, GO:CC, GO:BP"
Steinernema carpocapsae (PRJNA202318),Steinernema carpocapsae,stcarpprjna202318,ASM75764v3 (2020-04-WormBase),"GO:MF, GO:CC, GO:BP"
Fasciola hepatica (PRJNA179522),Fasciola hepatica,fahepaprjna179522,F_hepatica_1.0.allpaths.pg (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Ancylostoma ceylanicum (PRJNA231479),Ancylostoma ceylanicum,anceylprjna231479,Acey_2013.11.30.genDNA (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Nippostrongylus brasiliensis (PRJEB511),Nippostrongylus brasiliensis,nibrasprjeb511,N_brasiliensis_RM07_v1_5_4_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Wuchereria bancrofti (PRJNA275548),Wuchereria bancrofti,wubancprjna275548,Wb_PNG_Genome_assembly_pt22 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella zimbabwensis (PRJNA257433),Trichinella zimbabwensis,trzimbprjna257433,T11_ISS1029_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Propanagrolaimus ju765 (PRJEB32708),Panagrolaimus sp. JU765,prju76prjeb32708,JU765_v2 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella nelsoni (PRJNA257433),Trichinella nelsoni,trnelsprjna257433,T7_ISS37_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Dirofilaria immitis (PRJEB1797),Dirofilaria immitis,diimmiprjeb1797,nDi.2.2 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Wuchereria bancrofti (PRJEB536),Wuchereria bancrofti,wubancprjeb536,W_bancrofti_Jakarta_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Strongylus vulgaris (PRJEB531),Strongylus vulgaris,stvulgprjeb531,S_vulgaris_Kentucky_0011_upd (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Strongyloides ratti (PRJEB125) [WS276],Strongyloides ratti,strattprjeb125,S_ratti_ED321_v5_0_4 (WS276),"GO:MF, GO:CC, GO:BP"
Meloidogyne incognita (PRJNA340324),Meloidogyne incognita,meincoprjna340324,ASM369364v1 (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Teladorsagia circumcincta (PRJNA72569),Teladorsagia circumcincta,tecircprjna72569,T_circumcincta.14.0.ec.cg.pg (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis waitukubuli (PRJEB12602),Caenorhabditis sp. 39 LS-2015,cawaitprjeb12602,CWAIT_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Angiostrongylus cantonensis (PRJNA350391),Angiostrongylus cantonensis,ancantprjna350391,ACgenome_NGS_v2 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Enterobius vermicularis (PRJEB503),Enterobius vermicularis,envermprjeb503,E_vermicularis_Canary_Islands_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Loa loa (PRJNA37757),Loa loa,loloaprjna37757,Loa_loa_V3 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Trichinella patagoniensis (PRJNA257433),Trichinella patagoniensis,trpataprjna257433,T12_ISS2496_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Hymenolepis microstoma (PRJEB124),Hymenolepis microstoma,hymicrprjeb124,HMN_v3 (2018-10-WormBase),"GO:MF, GO:CC, GO:BP"
Schistosoma curassoni (PRJEB519),Schistosoma curassoni,sccuraprjeb519,S_curassoni_Dakar_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Hymenolepis diminuta (PRJEB507),Hymenolepis diminuta,hydimiprjeb507,H_diminuta_Denmark_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Caenorhabditis sulstoni (PRJEB12601),Caenorhabditis sp. 32 LS-2015,casulsprjeb12601,CSULS_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella pseudospiralis (ISS13 PRJNA257433),Trichinella pseudospiralis,iss13prjna257433,T4_ISS13_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Gongylonema pulchrum (PRJEB505),Gongylonema pulchrum,gopulcprjeb505,G_pulchrum_Hokkaido_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Meloidogyne javanica (PRJNA340324),Meloidogyne javanica,mejavaprjna340324,ASM369362v1 (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Steinernema feltiae (PRJNA353610),Steinernema feltiae,stfeltprjna353610,S_feltiae_NW_1.0 (2020-04-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella pseudospiralis (ISS141 PRJNA257433),Trichinella pseudospiralis,iss141prjna257433,T4_ISS141_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Micoletzkya japonica (PRJEB27334),Micoletzkya japonica,mijapoprjeb27334,Micoletzkya japonica genome (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Heligmosomoides polygyrus (PRJEB15396),Heligmosomoides polygyrus,hepolyprjeb15396,nHp_v2.0 (2016-09-WormBase),"GO:MF, GO:CC, GO:BP"
Ancylostoma ceylanicum (PRJNA72583),Ancylostoma ceylanicum,anceylprjna72583,A_ceylanicum1.3.ec.cg.pg (2020-04-WormBase),"GO:MF, GO:CC, GO:BP"
Acanthocheilonema viteae (PRJEB1697),Acanthocheilonema viteae,acviteprjeb1697,ASM90053725v1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella spiralis (PRJNA12603),Trichinella spiralis,trspirprjna12603,Trichinella_spiralis-3.7.1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Pristionchus entomophagus (PRJEB27334),Pristionchus entomophagus,prentoprjeb27334,P._entomophagus_genome (2019-02-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis sinica (PRJNA194557),Caenorhabditis sinica,casiniprjna194557,1.0 (2011-12-Edinburgh),"GO:MF, GO:CC, GO:BP"
Trichinella sp. T8 (PRJNA257433),Trichinella sp. T8,trt8prjna257433,T8_ISS272_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella nativa (PRJNA179527),Trichinella nativa,trnatiprjna179527,T_nativa_rf_gd (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Toxocara canis (PRJNA248777),Toxocara canis,tocaniprjna248777,Toxocara_canis_adult_r1.0 (2016-04-WormBase),"GO:MF, GO:CC, GO:BP"
Onchocerca ochengi (PRJEB1465),Onchocerca ochengi,onocheprjeb1465,ASM90053720v1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Schistosoma bovis (PRJNA451066),Schistosoma bovis,scboviprjna451066,ASM395894v1 (2019-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella pseudospiralis (ISS588 PRJNA257433),Trichinella pseudospiralis,iss588prjna257433,T4_ISS588_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Anisakis simplex (PRJEB496),Anisakis simplex,ansimpprjeb496,A_simplex_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Hydatigera taeniaeformis (PRJEB534),Hydatigera taeniaeformis,hytaenprjeb534,H_taeniaeformis_Canary_Islands_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Onchocerca ochengi (PRJEB1204),Onchocerca ochengi,onocheprjeb1204,O_ochengi_Ngaoundere (2016-04-WormBase),"GO:MF, GO:CC, GO:BP"
Echinostoma caproni (PRJEB1207),Echinostoma caproni,eccaprprjeb1207,E_caproni_Egypt_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Trichinella pseudospiralis (ISS470 PRJNA257433),Trichinella pseudospiralis,iss470prjna257433,T4_ISS470_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Schmidtea mediterranea (PRJNA379262),Schmidtea mediterranea,scmediprjna379262,ASM260089v1 (2019-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis quiockensis (PRJEB11354),Caenorhabditis sp. 38 MB-2015,caquioprjeb11354,CQUIO_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Schistosoma japonicum (PRJNA520774),Schistosoma japonicum,scjapoprjna520774,ASM636876v1 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Taenia solium (PRJNA170813),Taenia solium,tasoliprjna170813,Tsolium_Mexico_v1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Cylicostephanus goldi (PRJEB498),Cylicostephanus goldi,cygoldprjeb498,C_goldi_Cheshire_0011 (2014-06-WormBase),"GO:MF, GO:CC, GO:BP"
Ancylostoma duodenale (PRJNA72581),Ancylostoma duodenale,anduodprjna72581,A_duodenale_2.2.ec.cg.pg (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis tropicalis (PRJNA53597),Caenorhabditis tropicalis,catropprjna53597,Caenorhabditis_sp11_JU1373-3.0.1 (2011-04-WormBase),"GO:MF, GO:CC, GO:BP"
Angiostrongylus cantonensis (PRJEB493),Angiostrongylus cantonensis,ancantprjeb493,A_cantonensis_Taipei_v1_5_4 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Halicephalobus mephisto (PRJNA528747),Halicephalobus sp. WB-2010a,hamephprjna528747,SWDT01000000 (2019-05-WormBase),"GO:MF, GO:CC, GO:BP"
Protopolystoma xenopodis (PRJEB1201),Protopolystoma xenopodis,prxenoprjeb1201,P_xenopodis_South_Africa_v1_0_4 (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Meloidogyne hapla (PRJNA29083),Meloidogyne hapla,mehaplprjna29083,Freeze_1 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Steinernema carpocapsae (v1 PRJNA202318),Steinernema carpocapsae,stcav1prjna202318,S_carpo_v1_submitted (2014-12-WormBase),"GO:MF, GO:CC, GO:BP"
Trichuris suis (PRJNA208416 - female),Trichuris suis,trsuisprjna208416,Tsuis_adult_female_1.0 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Oscheius tipulae (PRJEB15512),Oscheius tipulae,ostipuprjeb15512,Oscheius_tipulae_assembly_v2 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Meloidogyne arenaria (PRJNA340324),Meloidogyne arenaria,mearenprjna340324,ASM369356v1 (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Meloidogyne floridensis (PRJNA340324),Meloidogyne floridensis,meflorprjna340324,ASM369360v1 (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Rhabditophanes sp. KR3021 (PRJEB1297),Rhabditophanes sp. KR3021,rhkr30prjeb1297,Rhabditophanes_sp_KR3021 (2015-05-WormBase),"GO:MF, GO:CC, GO:BP"
Acrobeloides nanus (PRJEB26554),Acrobeloides nanus,acnanuprjeb26554,v1 (2018-08-WormBase),"GO:MF, GO:CC, GO:BP"
Angiostrongylus costaricensis (PRJEB494),Angiostrongylus costaricensis,ancostprjeb494,A_costaricensis_Costa_Rica_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Toxocara canis (PRJEB533),Toxocara canis,tocaniprjeb533,T_canis_Equador_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Macrostomum lignano (PRJNA371498),Macrostomum lignano,malignprjna371498,Mlig_3_7 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Pristionchus mayeri (PRJEB27334),Pristionchus mayeri,prmayeprjeb27334,Pristionchus_mayeri_genome (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella murrelli (PRJNA257433),Trichinella murrelli,trmurrprjna257433,T5_ISS417_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichuris suis (PRJNA208415 - male),Trichuris suis,trsuisprjna208415,Tsuis_adult_male_v1.0 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis remanei (PRJNA248911),Caenorhabditis remanei,caremaprjna248911,CaeRem1.0 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Parastrongyloides trichosuri (PRJEB515),Parastrongyloides trichosuri,patricprjeb515,P_trichosuri_KNP (2015-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella pseudospiralis (ISS176 PRJNA257433),Trichinella pseudospiralis,iss176prjna257433,T4_ISS176_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Dictyocaulus viviparus (PRJEB5116),Dictyocaulus viviparus,diviviprjeb5116,nDv.1.0 (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis becei (PRJEB28243),Caenorhabditis becei,cabeceprjeb28243,CBECE_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Paragonimus westermani (PRJNA454344),Paragonimus westermani,pawestprjna454344,ASM850834v1 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Thelazia callipaeda (PRJEB1205),Thelazia callipaeda,thcallprjeb1205,T_callipaeda_Ticino_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Meloidogyne javanica (PRJEB8714),Meloidogyne javanica,mejavaprjeb8714,ASM90000394v1 (2018-05-WormBase),"GO:MF, GO:CC, GO:BP"
Fasciola hepatica (PRJEB25283),Fasciola hepatica,fahepaprjeb25283,Fasciola_10x_pilon (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis japonica (PRJNA12591) [WS276],Caenorhabditis japonica,cajapoprjna12591,C_japonica-7.0.1 (WS269),"GO:MF, GO:CC, GO:BP"
Loa loa (PRJNA24608),Loa loa,loloaprjna246086,LLoa-hgap-1 (2015-06-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Echinococcus oligarthrus (PRJEB31222),Echinococcus oligarthrus,ecoligprjeb31222,v2 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichuris suis (PRJNA179528),Trichuris suis,trsuisprjna179528,T_suis_1.0.allpaths (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Pristionchus fissidentatus (PRJEB27334),Pristionchus fissidentatus,prfissprjeb27334,Pristionchus_fissidentatus_genome (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Meloidogyne enterolobii (PRJNA340324),Meloidogyne enterolobii,meenteprjna340324,ASM369367v1 (2019-01-WormBase),"GO:MF, GO:CC, GO:BP"
Clonorchis sinensis (PRJNA386618),Clonorchis sinensis,clsineprjna386618,ASM360417v1 (2019-02-WormBase),"GO:MF, GO:CC, GO:BP"
Pristionchus japonicus (PRJEB27334),Pristionchus japonicus,prjapoprjeb27334,Pristionchus_japonicus_genome (2019-02-WormBase),"GO:MF, GO:CC, GO:BP"
Bursaphelenchus xylophilus (PRJEA64437),Bursaphelenchus xylophilus,buxyloprjea64437,ASM23113v1_submitted (2014-05-WormBase),"GO:MF, GO:CC, GO:BP"
Strongyloides papillosus (PRJEB525),Strongyloides papillosus,stpapiprjeb525,S_papillosus_LIN_v2_1_4 (2015-05-WormBase),"GO:MF, GO:CC, GO:BP"
Trichinella papuae (PRJNA257433),Trichinella papuae,trpapuprjna257433,T10_ISS1980_r1.0 (2016-05-WormBase),"GO:MF, GO:CC, GO:BP"
Strongyloides stercoralis (PRJEB528),Strongyloides stercoralis,ststerprjeb528,S_stercoralis_PV0001_v2_0_4 (2015-05-WormBase),"GO:MF, GO:CC, GO:BP"
Schistosoma mansoni (PRJEA36577),Schistosoma mansoni,scmansprjea36577,Smansoni_v7 (2018-10-WormBase),"GO:MF, GO:CC, GO:BP, KEGG"
Caenorhabditis zanzibari (PRJEB12596),Caenorhabditis sp. 26 LS-2015,cazanzprjeb12596,CZANZ_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Taenia asiatica (PRJEB532),Taenia asiatica,taasiaprjeb532,T_asiatica_South_Korea_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Macrostomum lignano (PRJNA284736),Macrostomum lignano,malignprjna284736,ML2 (2016-02-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis bovis (PRJEB34497),Caenorhabditis bovis,caboviprjeb34497,CBOVIS_v1 (2020-05-WormBase),"GO:MF, GO:CC, GO:BP"
Opisthorchis felineus (PRJNA413383),Opisthorchis felineus,opfeliprjna413383,ICG_Ofel_1.0 (2019-05-WormBase),"GO:MF, GO:CC, GO:BP"
Schistosoma mattheei (PRJEB523),Schistosoma mattheei,scmattprjeb523,S_mattheei_Denwood_0011_upd (2014-06-50HGPpatch),"GO:MF, GO:CC, GO:BP"
Panagrolaimus ps1159 (PRJEB32708),Panagrolaimus sp. PS1159,paps11prjeb32708,PS1159_v2 (2020-03-WormBase),"GO:MF, GO:CC, GO:BP"
Caenorhabditis briggsae (PRJNA10731) [WS276],Caenorhabditis briggsae,cabrigprjna10731,CB4 (WS271),"GO:MF, GO:CC, GO:BP, KEGG"
Oryza sativa Indica Group,Oryza sativa Indica Group,oindica,ASM465v1,"GO:MF, GO:CC, GO:BP"
Ananas comosus,Ananas comosus,acomosus,F153,"GO:MF, GO:CC, GO:BP"
Oryza rufipogon,Oryza rufipogon,orufipogon,OR_W1943,"GO:MF, GO:CC, GO:BP"
Chenopodium quinoa,Chenopodium quinoa,cquinoa,ASM168347v1,"GO:MF, GO:CC, GO:BP"
Oryza barthii,Oryza barthii,obarthii,O.barthii_v1,"GO:MF, GO:CC, GO:BP"
Cynara cardunculus,Cynara cardunculus var. scolymus,ccardunculus,CcrdV1,"GO:MF, GO:CC, GO:BP, KEGG"
Actinidia chinensis,Actinidia chinensis var. chinensis,achinensis,Red5_PS1_1.69.0,"GO:MF, GO:CC, GO:BP"
Lupinus angustifolius,Lupinus angustifolius,langustifolius,LupAngTanjil_v1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Kalanchoe fedtschenkoi,Kalanchoe fedtschenkoi,kfedtschenkoi,K_fedtschenkoi_M2_v1,"GO:MF, GO:CC, GO:BP"
Solanum tuberosum,Solanum tuberosum,stuberosum,SolTub_3.0,"GO:MF, GO:CC, GO:BP, KEGG"
Triticum aestivum Stanley,Triticum aestivum,tastanley,PGSBv2.0_Stanley,"GO:MF, GO:CC, GO:BP"
Triticum aestivum Weebill,Triticum aestivum,taweebil,EI_WeebilV1,"GO:MF, GO:CC, GO:BP"
Papaver somniferum,Papaver somniferum,psomniferum,ASM357369v1,"GO:MF, GO:CC, GO:BP"
Medicago truncatula,Medicago truncatula,mtruncatula,MedtrA17_4.0,"GO:MF, GO:CC, GO:BP, KEGG"
Ipomoea triloba,Ipomoea triloba,itriloba,ASM357664v1,"GO:MF, GO:CC, GO:BP"
Olea europaea var. sylvestris,Olea europaea var. sylvestris,oesylvestris,O_europaea_v1,"GO:MF, GO:CC, GO:BP, KEGG"
Chondrus crispus,Chondrus crispus,ccrispus,ASM35022v2,"GO:MF, GO:CC, GO:BP, KEGG"
Brassica napus,Brassica napus,bnapus,AST_PRJEB5043_v1,"GO:MF, GO:CC, GO:BP, KEGG"
Capsicum annuum,Capsicum annuum,cannuum,ASM51225v2,"GO:MF, GO:CC, GO:BP, KEGG"
Ostreococcus lucimarinus,Ostreococcus lucimarinus CCE9901,olucimarinus,ASM9206v1,"GO:MF, GO:CC, GO:BP, KEGG"
Juglans regia,Juglans regia,jregia,Walnut_2.0,"GO:MF, GO:CC, GO:BP"
Vitis vinifera,Vitis vinifera,vvinifera,12X,"GO:MF, GO:CC, GO:BP, KEGG"
Brassica oleracea,Brassica oleracea var. oleracea,boleracea,BOL,"GO:MF, GO:CC, GO:BP, KEGG"
Marchantia polymorpha,Marchantia polymorpha,mpolymorpha,Marchanta_polymorpha_v1,"GO:MF, GO:CC, GO:BP"
Saccharum spontaneum,Saccharum spontaneum,sspontaneum,Sspon.HiC_chr_asm,"GO:MF, GO:CC, GO:BP"
Cyanidioschyzon merolae,Cyanidioschyzon merolae strain 10D,cmerolae,ASM9120v1,"GO:MF, GO:CC, GO:BP, KEGG"
Oryza glaberrima,Oryza glaberrima,oglaberrima,Oryza_glaberrima_V1,"GO:MF, GO:CC, GO:BP"
Gossypium raimondii,Gossypium raimondii,graimondii,Graimondii2_0_v6,"GO:MF, GO:CC, GO:BP, KEGG"
Glycine max,Glycine max,gmax,Glycine_max_v2.1,"GO:MF, GO:CC, GO:BP, KEGG"
Setaria viridis,Setaria viridis,sviridis,Setaria_viridis_v2.0,"GO:MF, GO:CC, GO:BP"
Triticum urartu,Triticum urartu,turartu,ASM34745v1,"GO:MF, GO:CC, GO:BP"
Triticum aestivum Cadenza,Triticum aestivum,tacadenza,TGAC_cadenza,"GO:MF, GO:CC, GO:BP"
Physcomitrium patens,Physcomitrium patens,ppatens,Phypa V3,"GO:MF, GO:CC, GO:BP, KEGG"
Sesamum indicum,Sesamum indicum,sindicum,S_indicum_v1.0,"GO:MF, GO:CC, GO:BP"
Triticum aestivum Norin61,Triticum aestivum,tanorin61,PGSBv2.0_Norin61,"GO:MF, GO:CC, GO:BP"
Prunus avium,Prunus avium,pavium,PAV_r1.0,"GO:MF, GO:CC, GO:BP, KEGG"
Triticum aestivum Arinalrfor,Triticum aestivum,taarinalrfor,PGSBv2.0_Arinalrfor,"GO:MF, GO:CC, GO:BP"
Nymphaea colorata,Nymphaea colorata,ncolorata,ASM883128v1,"GO:MF, GO:CC, GO:BP"
Triticum aestivum Claire,Triticum aestivum,taclaire,TGAC_paragon,"GO:MF, GO:CC, GO:BP"
Daucus carota,Daucus carota subsp. sativus,dcarota,ASM162521v1,"GO:MF, GO:CC, GO:BP, KEGG"
Cucumis sativus,Cucumis sativus,csativus,ASM407v2,"GO:MF, GO:CC, GO:BP, KEGG"
Eucalyptus grandis,Eucalyptus grandis,egrandis,Egrandis1_0,"GO:MF, GO:CC, GO:BP"
Oryza brachyantha,Oryza brachyantha,obrachyantha,Oryza_brachyantha.v1.4b,"GO:MF, GO:CC, GO:BP, KEGG"
Arabidopsis thaliana,Arabidopsis thaliana,athaliana,TAIR10,"GO:MF, GO:CC, GO:BP, KEGG, MIRNA, WP"
